DATE,all_Const_Emp,emratio,GDP,home_ow_rate,house_st,income,IPI_Cement,labor_percent,monthly_supply,MSPUS,new_private_house,new_private_hw_under,p_saving_rate,permit,population,PPI_Cement,PPI_Concrete,target,total_emp_cons,unemployed_rate,mortgage_rate
01/01/04,866.4,62.3,11923.447,68.7,1911,9731.8,152.7696,66.1,3.8,212700,1709,1191,4.6,1952,292046,149.4,154.4,140.705,6848,5.7,5.87
01/02/04,867.3,62.3,11923.447,68.7,1846,9765.4,150.0017,66,3.7,212700,1718,1197,4.6,1966,292230,149.5,154.4,142.028,6838,5.6,5.72
01/03/04,875.7,62.2,11923.447,68.7,1998,9815.8,169.2698,66,3.6,212700,1794,1219,4.5,2066,292434,150.2,154.4,144.079,6887,5.8,5.59
01/04/04,876.2,62.3,12112.815,69.4,2003,9865.8,170.7984,65.9,4,217600,1938,1222,4.9,2070,292651,152.1,155.6,146.18,6901,5.6,5.52
01/05/04,890.8,62.3,12112.815,69.4,1981,9950,166.8784,66,3.8,217600,1893,1233,4.8,2150,292872,153.6,155.6,148.336,6948,5.6,6.12
01/06/04,891.3,62.4,12112.815,69.4,1828,9988.4,161.137,66.1,3.9,217600,1857,1229,5.4,2020,293103,153.9,155.6,150.519,6962,5.6,6.28
01/07/04,898.6,62.5,12305.307,68.9,2002,10033,165.4524,66.1,4.5,213500,1881,1247,4.7,2112,293350,154.4,155.6,152.338,6977,5.5,6.21
01/08/04,903.4,62.4,12305.307,68.9,2024,10078.2,165.3621,66,4.3,213500,1911,1238,4.7,2056,293603,157.7,155.6,153.815,7003,5.4,5.99
01/09/04,910.4,62.3,12305.307,68.9,1905,10110.5,164.6795,65.8,4.1,213500,1796,1247,4.1,2041,293857,160.4,155.6,155.109,7029,5.4,5.77
01/10/04,918.3,62.3,12527.214,69.1,2072,10159.3,159.7827,65.9,3.9,228800,1839,1264,3.9,2097,294104,160.4,155.6,156.3,7077,5.5,5.82
01/11/04,923.5,62.5,12527.214,69.1,1782,10171.5,155.9986,66,4.3,228800,1758,1268,3.4,2079,294337,161.4,155.6,157.497,7091,5.4,5.7
